Period,death,hospitalizedCurrently,positiveCasesViral,positiveIncrease,positiveTestsViral,deathIncrease,positiveTestsViralIncrease,positiveCasesIncrease,positivityRate,State
15.0,2459.923076923077,751.0769230769231,1069551.8461538462,986.3846153846154,,8.76923076923077,,7440.2307692307695,0.0,AL
16.0,2598.230769230769,780.3846153846154,1174324.0,963.2307692307693,,11.384615384615385,,7299.846153846154,0.0,AL
17.0,2809.4615384615386,870.1538461538462,1267697.076923077,1394.5384615384614,,15.461538461538462,,6652.846153846154,0.0,AL
18.0,2999.076923076923,1018.2307692307693,1365060.5384615385,1416.923076923077,,14.76923076923077,,7226.307692307692,0.0,AL
1.0,1016.0769230769231,1472.090909090909,123394.53846153847,661.1538461538462,17941.615384615383,51.666666666666664,672.6666666666666,5004.083333333333,0.9230769230769231,IN
2.0,1496.1666666666667,1359.0,185210.0,542.8333333333334,24323.666666666668,33.5,492.1666666666667,6106.666666666667,1.0,IN
3.0,1736.3333333333333,1284.5,236074.16666666666,538.6666666666666,28324.5,34.166666666666664,573.6666666666666,7581.5,0.10203793784178844,IN
4.0,1958.8333333333333,1134.8333333333333,287106.6666666667,467.3333333333333,32147.5,23.333333333333332,422.1666666666667,5814.333333333333,0.07012335393515871,IN
5.0,2129.3333333333335,1080.1666666666667,332441.0,466.6666666666667,35252.166666666664,27.833333333333332,449.6666666666667,6945.333333333333,0.07080950719211077,IN
6.0,2289.8333333333335,916.1666666666666,382454.6666666667,386.8333333333333,38176.833333333336,22.0,402.3333333333333,7474.0,0.06457533297321878,IN
7.0,2415.1666666666665,879.1666666666666,444618.5,408.1666666666667,41050.5,15.333333333333334,371.3333333333333,9789.666666666666,0.052418569638355096,IN
8.0,2534.1666666666665,755.1666666666666,521351.6666666667,309.6666666666667,43669.5,15.666666666666666,378.8333333333333,10596.0,0.04260934859780032,IN
9.0,2613.3333333333335,658.0,593889.0,409.0,46701.833333333336,10.333333333333334,457.6666666666667,9838.666666666666,0.052948607172843054,IN
10.0,2689.6666666666665,634.8333333333334,658574.1666666666,445.6666666666667,50186.0,11.166666666666666,503.5,8357.333333333334,0.09449821947991403,IN
11.0,2756.6666666666665,716.6666666666666,729676.8333333334,603.6666666666666,54704.666666666664,7.166666666666667,666.6666666666666,10756.166666666666,0.09179003670366948,IN
12.0,2818.5,805.6666666666666,820328.1666666666,757.6666666666666,60178.833333333336,10.166666666666666,781.1666666666666,13062.666666666666,0.0830196489992638,IN
13.0,3242.846153846154,895.3846153846154,1436125.7692307692,949.9230769230769,93717.76923076923,10.076923076923077,865.0,18310.0,0.08728865451687261,IN
14.0,3386.3076923076924,809.7692307692307,1683776.923076923,896.0769230769231,105291.30769230769,9.76923076923077,735.6923076923077,17868.076923076922,0.07510652438194529,IN
15.0,3529.076923076923,823.0,1964391.2307692308,853.3076923076923,115825.46153846153,10.076923076923077,765.3846153846154,20156.615384615383,0.09145791663008833,IN
16.0,3712.6153846153848,1069.4615384615386,2271359.3076923075,1345.3076923076924,129997.53846153847,14.076923076923077,1166.6153846153845,22469.0,0.12494547830298745,IN
17.0,3998.5384615384614,1469.076923076923,2567914.769230769,2036.6923076923076,148322.23076923078,24.692307692307693,1549.7692307692307,24139.846153846152,0.15109368765716555,IN
18.0,4438.846153846154,1869.076923076923,3009903.846153846,3688.076923076923,181740.76923076922,36.15384615384615,3251.846153846154,37286.38461538462,0.2387584114743918,IN
1.0,264.3076923076923,301.9230769230769,66569.30769230769,303.3076923076923,9591.153846153846,11.833333333333334,382.9166666666667,2882.3333333333335,0.16468631458436,RI
2.0,416.8333333333333,293.0,97538.5,228.0,13624.333333333334,12.333333333333334,348.1666666666667,2849.5,0.18023916873008503,RI
3.0,495.5,259.8333333333333,120274.16666666667,198.16666666666666,15924.833333333334,11.666666666666666,323.1666666666667,3351.6666666666665,0.1703382895150792,RI
4.0,597.0,239.16666666666666,141749.16666666666,131.0,18013.333333333332,16.0,250.0,2701.0,0.17221567511963257,RI
5.0,708.5,208.16666666666666,162166.33333333334,116.0,19820.5,12.833333333333334,262.1666666666667,3360.1666666666665,0.18416748334574695,RI
6.0,779.8333333333334,170.16666666666666,185161.16666666666,75.33333333333333,21335.833333333332,11.0,182.66666666666666,2916.6666666666665,0.13721639728400903,RI
7.0,839.6666666666666,137.5,205931.0,62.833333333333336,22485.333333333332,8.833333333333334,143.83333333333334,3166.8333333333335,0.09232186192253089,RI
8.0,896.0,117.66666666666667,225327.33333333334,54.833333333333336,23304.0,5.0,111.5,2795.8333333333335,0.09093049034644952,RI
9.0,932.8333333333334,87.16666666666667,245312.0,41.333333333333336,23975.166666666668,6.333333333333333,75.0,2615.0,0.06352835950721528,RI
10.0,961.3333333333334,61.0,264478.8333333333,38.0,24521.666666666668,2.1666666666666665,69.0,2662.5,0.058936962141975247,RI
11.0,978.5,62.333333333333336,282441.8333333333,64.0,25102.666666666668,2.3333333333333335,159.16666666666666,3689.0,0.05055823485974082,RI
12.0,991.5,62.5,307968.5,57.666666666666664,26020.333333333332,1.5,81.33333333333333,3435.1666666666665,0.039162073066365224,RI
13.0,1038.6153846153845,81.38461538461539,258849.92307692306,96.6923076923077,30524.076923076922,1.8461538461538463,128.92307692307693,2902.6153846153848,0.03707099201446564,RI
14.0,1062.8461538461538,77.46153846153847,294523.76923076925,86.76923076923077,32044.615384615383,1.9230769230769231,109.61538461538461,2439.6153846153848,0.0481179456254868,RI
15.0,1098.4615384615386,86.61538461538461,323664.53846153844,90.3076923076923,33882.0,2.4615384615384617,137.0,1972.5384615384614,0.07786193314852062,RI
16.0,1124.6153846153845,105.38461538461539,358081.53846153844,175.0,35799.153846153844,1.8461538461538463,167.69230769230768,3169.3846153846152,0.05790374227219341,RI
17.0,1165.8461538461538,138.76923076923077,402585.6923076923,312.61538461538464,39275.769230769234,3.4615384615384617,344.0769230769231,3015.230769230769,0.11406572119979883,RI
18.0,1213.6153846153845,174.53846153846155,445295.53846153844,504.9230769230769,45967.92307692308,3.4615384615384617,577.0769230769231,3197.076923076923,0.18873735970676034,RI
1.0,214.3846153846154,274.84615384615387,38656.46153846154,94.84615384615384,4069.714285714286,5.666666666666667,118.83333333333333,6406.25,0.3076923076923077,OK
2.0,270.0,195.33333333333334,95247.0,88.5,4912.5,4.166666666666667,115.16666666666667,3859.6666666666665,0.6666666666666666,OK
3.0,287.8333333333333,172.5,123920.33333333333,106.16666666666667,5778.0,2.6666666666666665,150.66666666666666,5067.166666666667,0.6666666666666666,OK
4.0,310.6666666666667,182.6,157676.16666666666,100.83333333333333,6639.5,3.1666666666666665,52.833333333333336,2614.1666666666665,0.5,OK
5.0,332.6666666666667,154.5,193650.16666666666,77.16666666666667,7270.166666666667,2.8333333333333335,113.33333333333333,4379.0,0.6666666666666666,OK
6.0,347.0,155.66666666666666,222769.66666666666,93.0,8090.166666666667,2.0,129.16666666666666,4407.5,0.6666666666666666,OK
7.0,359.3333333333333,155.16666666666666,251421.0,194.16666666666666,9508.166666666666,1.3333333333333333,251.0,4146.166666666667,0.6666666666666666,OK
8.0,368.3333333333333,210.66666666666666,282711.3333333333,354.0,11280.666666666666,1.1666666666666667,333.1666666666667,4927.333333333333,0.6666666666666666,OK
9.0,382.1666666666667,314.5,324307.0,374.5,13883.0,2.5,421.8333333333333,7282.166666666667,0.6666666666666666,OK
10.0,398.6666666666667,393.0,368706.1666666667,518.0,17007.166666666668,2.5,642.3333333333334,7255.166666666667,0.5,OK
11.0,420.1666666666667,497.1666666666667,422250.6666666667,640.8333333333334,22219.666666666668,3.5,752.0,7867.5,0.6666666666666666,OK
12.0,449.6666666666667,592.1666666666666,478476.1666666667,585.5,27783.0,4.833333333333333,886.5,8823.0,0.6666666666666666,OK
13.0,751.6153846153846,564.0769230769231,838455.4615384615,723.6153846153846,62380.692307692305,9.076923076923077,723.8461538461538,6958.307692307692,0.6923076923076923,OK
14.0,865.2307692307693,497.84615384615387,956398.5384615385,832.6153846153846,75156.61538461539,7.384615384615385,816.3076923076923,7894.153846153846,0.6153846153846154,OK
15.0,965.4615384615385,560.4615384615385,1112843.5384615385,1067.6923076923076,89548.23076923077,7.3076923076923075,949.0,11003.307692307691,0.6923076923076923,OK
16.0,1067.8461538461538,691.0,1291927.3846153845,1074.2307692307693,104917.0,6.615384615384615,965.0,11386.0,0.6923076923076923,OK
17.0,1195.5384615384614,848.3076923076923,1479215.1538461538,1223.5384615384614,121288.61538461539,10.153846153846153,1077.3076923076924,12216.153846153846,0.6923076923076923,OK
18.0,1374.923076923077,953.4615384615385,1661356.3846153845,1542.0,138869.07692307694,13.153846153846153,1166.076923076923,10858.307692307691,0.6923076923076923,OK
1.0,327.2307692307692,336.2307692307692,7429.615384615385,547.5384615384615,,21.25,,550.5,0.0,MN
2.0,563.8333333333334,461.0,13610.5,588.8333333333334,,21.5,,588.8333333333334,0.0,MN
3.0,715.3333333333334,501.5,18079.666666666668,678.3333333333334,,19.833333333333332,,678.3333333333334,0.0,MN
4.0,867.6666666666666,566.0,22945.666666666668,616.5,,20.333333333333332,,616.5,0.0,MN
5.0,1035.1666666666667,571.3333333333334,26391.333333333332,398.0,,23.333333333333332,,398.0,0.0,MN
6.0,1183.1666666666667,470.0,29020.166666666668,329.5,,21.833333333333332,,329.5,0.0,MN
7.0,1317.8333333333333,380.5,30565.333333333332,113.83333333333333,,12.833333333333334,,113.83333333333333,0.0,MN
8.0,1404.3333333333333,333.5,32631.5,362.1666666666667,,11.333333333333334,,362.1666666666667,0.0,MN
9.0,1457.5,301.1666666666667,35247.5,423.3333333333333,,7.333333333333333,,423.3333333333333,0.0,MN
10.0,1505.6666666666667,265.3333333333333,38049.333333333336,402.8333333333333,,5.333333333333333,,402.8333333333333,0.0,MN
11.0,1538.0,242.16666666666666,41787.333333333336,596.8333333333334,,4.166666666666667,,596.8333333333334,0.0,MN
12.0,1578.5,256.1666666666667,45933.0,619.1666666666666,,5.0,,619.1666666666666,0.0,MN
13.0,1829.6923076923076,308.38461538461536,1075380.4615384615,754.0769230769231,,7.615384615384615,,9593.615384615385,0.0,MN
14.0,1924.3846153846155,264.0,1197278.6923076923,661.0769230769231,,7.846153846153846,,8494.846153846154,0.0,MN
