State,Period,Depression_Score,Anxiety_Score,Mix_Score,deathIncrease,death,hospitalizedCurrently,positiveCasesIncrease,positiveCasesViral,totalTestsPeopleViralIncrease,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
CO,2,23.6,29.7,32.2,14.666666666666666,973.0,733.3333333333334,3295.8333333333335,101631.83333333333,3295.8333333333335,21764389.0,57973507.0,277376305.0,77165136.0,69070263.0,32243224.0,40265349.0,39431095.0,11998486.0,4548317.0,1864337.0,504534.0,285564.0
CT,2,21.5,29.1,36.0,53.833333333333336,2936.5,1276.0,4496.166666666667,126901.33333333333,0.0,12756936.0,37260374.0,161501830.0,41519976.0,43460536.0,20012416.0,23534798.0,22856144.0,7383098.0,2021862.0,445516.0,121952.0,145532.0
GA,2,25.6,29.5,34.3,25.0,1403.3333333333333,1186.1666666666667,7656.666666666667,224588.66666666666,0.0,31359933.0,115912717.0,487423097.0,115357444.0,120329705.0,61009050.0,77993732.0,72288389.0,26060718.0,8538491.0,4462947.0,1109943.0,272678.0
ID,2,17.0,25.0,29.2,0.8333333333333334,67.33333333333333,22.5,357.1666666666667,31647.5,357.1666666666667,6029922.0,18528990.0,73211036.0,19591380.0,19329499.0,8819609.0,10403789.0,9246129.0,3362738.0,1498188.0,784792.0,136317.0,38595.0
IL,2,29.2,35.7,41.8,104.5,3361.1666666666665,4598.166666666667,2464.8333333333335,76747.83333333333,0.0,47365674.0,131009446.0,586624512.0,163571214.0,146277512.0,68150880.0,83291042.0,82529398.0,28961560.0,8198618.0,4175178.0,1075200.0,393910.0
IN,2,19.9,31.5,34.9,33.5,1496.1666666666667,1359.0,6106.666666666667,185210.0,0.0,21878592.0,71807700.0,316935430.0,80413078.0,80351456.0,39252314.0,48056812.0,45780954.0,15273018.0,5082904.0,2097172.0,457358.0,170364.0
IA,2,18.1,20.3,26.1,11.666666666666666,258.5,403.0,418.0,11905.166666666666,0.0,10413378.0,33772652.0,147792918.0,38428034.0,38517912.0,17088722.0,20229776.0,20639266.0,7878112.0,3258370.0,1454114.0,240532.0,58080.0
KY,2,25.6,29.6,37.7,6.0,299.0,374.5,7164.666666666667,87370.5,0.0,14403868.0,48153760.0,220826976.0,51949311.0,56178493.0,29033488.0,35064172.0,32011217.0,10635896.0,3871903.0,1704450.0,293468.0,84578.0
LA,2,30.0,34.6,42.8,38.666666666666664,2273.8333333333335,1346.3333333333333,275.1666666666667,31398.166666666668,0.0,13352126.0,51887566.0,223248618.0,56157776.0,56977110.0,28404314.0,35014930.0,29838406.0,10523402.0,4307102.0,1666316.0,273536.0,85726.0
ME,2,17.1,28.9,32.9,0.5,63.833333333333336,38.833333333333336,27.333333333333332,1293.3333333333333,0.0,4709780.0,14027876.0,60489132.0,13184018.0,14775080.0,7659898.0,9526988.0,10199176.0,3611880.0,1139924.0,322248.0,32138.0,37782.0
MD,2,24.6,30.1,34.6,52.333333333333336,1712.6666666666667,1628.1666666666667,6079.666666666667,168199.33333333334,0.0,21544416.0,63053636.0,270881028.0,73621114.0,65970434.0,31478088.0,40587100.0,40702036.0,13536488.0,3417442.0,1148538.0,275880.0,143908.0
MA,2,18.9,28.7,31.0,120.16666666666667,4887.0,3228.5,13214.0,481545.8333333333,0.0,27524286.0,69105800.0,366360362.0,103102374.0,98509064.0,44053474.0,51929018.0,48692750.0,15117666.0,3797022.0,672536.0,188898.0,297560.0
MI,2,23.4,27.0,33.4,58.166666666666664,5059.333333333333,1518.3333333333333,11909.666666666666,324097.1666666667,0.0,35787170.0,104155640.0,441269832.0,116992966.0,108637780.0,53480386.0,66590092.0,63942684.0,21274788.0,6818636.0,2729904.0,542062.0,260534.0
MN,2,18.4,22.9,27.2,21.5,563.8333333333334,461.0,588.8333333333334,13610.5,0.0,19498886.0,59057620.0,237084432.0,62201896.0,55747440.0,26195710.0,33064286.0,37994118.0,13743794.0,5210410.0,2441304.0,333710.0,151764.0
MS,2,35.5,38.3,48.4,13.833333333333334,424.6666666666667,607.5,2406.6666666666665,94012.0,0.0,7359318.0,34452102.0,128492410.0,29397692.0,32744394.0,15712998.0,20376940.0,19015656.0,7060558.0,2704630.0,1153520.0,282462.0,43560.0
MO,2,24.1,37.8,41.3,21.333333333333332,472.1666666666667,839.8333333333334,3425.6666666666665,118403.33333333333,0.0,20910936.0,64859392.0,263178975.0,64638759.0,66042904.0,30906825.0,39236510.0,39774312.0,14525810.0,4917749.0,2516088.0,470480.0,149538.0
MT,2,20.8,24.9,27.6,0.0,16.0,4.666666666666667,555.1666666666666,21638.666666666668,0.0,3983384.0,10886834.0,44417595.0,12500881.0,12149197.0,5002301.0,5516467.0,5037076.0,2301824.0,1261814.0,528892.0,84746.0,34397.0
NE,2,21.6,29.6,33.4,3.0,93.66666666666667,192.0,2367.5,49367.166666666664,1970.8333333333333,6434413.0,20575339.0,85697570.0,22050464.0,22489974.0,10615669.0,12635985.0,10937177.0,3930041.0,1976445.0,865060.0,154039.0,42716.0
NV,2,31.2,34.0,38.1,6.5,335.8333333333333,482.6666666666667,2637.3333333333335,69850.83333333333,0.0,11967280.0,30514208.0,117890820.0,35210480.0,28861832.0,14000847.0,17706027.0,16084020.0,3080112.0,1504178.0,1154610.0,214878.0,73836.0
