Period,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,State
9.0,831634.5714285715,2780029.4285714286,11392760.0,2766045.4285714286,2848163.4285714286,1370085.142857143,1725018.857142857,1636948.5714285714,634746.0,273759.71428571426,114368.85714285714,18534.85714285714,5089.142857142857,WV
9.0,265974.28571428574,889499.7142857143,3974362.5714285714,1102374.857142857,1026319.4285714285,488162.0,396651.71428571426,362321.71428571426,310281.71428571426,178342.0,93808.28571428571,11943.714285714286,4157.142857142857,WY
10.0,427109.4285714286,1030524.2857142857,3820710.0,1095477.857142857,1009597.1428571428,488626.5714285714,551399.7142857143,397738.85714285716,174540.7142857143,63390.142857142855,20334.14285714286,6913.142857142857,12691.714285714286,AK
10.0,1951722.5714285714,7824019.428571428,27302862.85714286,6158572.857142857,6508267.142857143,3539230.285714286,4344106.857142857,4220992.857142857,1522142.0,609734.0,318970.0,67114.0,13732.857142857143,AL
10.0,1208184.857142857,4819465.142857143,17300017.42857143,4189633.1428571427,4338094.285714285,2089992.857142857,2605305.1428571427,2469459.1428571427,923760.0,415886.0,214953.14285714287,43762.57142857143,9171.142857142857,AR
10.0,4001730.5714285714,10341561.42857143,34153319.14285714,9487928.57142857,7593520.0,3737061.1428571427,4877790.0,5420303.142857143,1820917.4285714286,621637.4285714285,425388.85714285716,115396.0,53376.57142857143,AZ
10.0,22424467.42857143,56687286.571428575,174450624.14285713,44726021.85714286,42320276.571428575,19617719.85714286,24484327.0,25477131.14285714,10849100.285714285,4542342.142857143,1840279.2857142857,403876.5714285714,189549.42857142858,CA
10.0,2988822.285714286,8399652.0,37170059.14285714,10175319.285714285,8635272.57142857,4209931.428571428,5461005.857142857,5506082.0,1750519.2857142857,819255.0,410830.4285714286,100342.14285714286,101501.14285714286,CO
10.0,1790566.2857142857,5354763.714285715,21857818.0,5675991.142857143,5514965.714285715,2578576.5714285714,3098186.0,3188991.714285714,1170561.4285714286,457462.0,123030.28571428571,20512.571428571428,29540.571428571428,CT
10.0,493483.14285714284,911426.8571428572,5213774.571428572,2062347.4285714286,1275214.5714285714,657592.2857142857,693132.5714285715,365755.4285714286,106319.14285714286,27346.85714285714,11624.857142857143,5890.571428571428,8550.857142857143,DC
10.0,461265.4285714286,1473076.5714285714,6036221.428571428,1606072.857142857,1468029.142857143,741568.8571428572,910354.2857142857,815314.8571428572,325008.5714285714,123612.28571428571,40794.28571428572,3076.285714285714,2390.0,DE
10.0,9948792.857142856,32649857.14285714,120546273.14285715,31926860.85714286,29777257.714285713,15002632.57142857,18579380.0,16733720.857142856,5325724.0,1853323.4285714286,968539.4285714285,235042.57142857142,143791.7142857143,FL
10.0,4791460.142857143,16244149.714285715,62153154.85714286,14966531.42857143,14518623.57142857,7397796.285714285,9704006.142857144,9346671.714285715,3689353.4285714286,1343077.142857143,855732.7142857143,243273.14285714287,88089.28571428571,GA
10.0,813455.5714285715,2027438.4285714286,6362538.857142857,1967610.857142857,1665277.857142857,702857.8571428572,851702.0,1021187.2857142857,106563.14285714286,20860.14285714286,12880.57142857143,3916.5714285714284,9682.57142857143,HI
10.0,1482011.142857143,4830278.857142857,19210805.42857143,4947197.714285715,4858254.571428572,2141126.0,2586895.714285714,2720972.285714286,1118090.5714285714,499065.4285714286,267582.28571428574,56130.0,15490.857142857143,IA
10.0,843917.8571428572,2662264.1428571427,9459352.142857144,2522071.4285714286,2353454.4285714286,1091273.142857143,1349095.142857143,1241490.5714285714,480718.28571428574,225794.2857142857,144172.2857142857,37765.142857142855,13517.42857142857,ID
10.0,6581242.571428572,18900917.42857143,80530808.85714285,22105804.285714287,19290540.285714287,9252506.57142857,11519186.285714285,11660462.57142857,4355878.285714285,1358492.0,727306.2857142857,173948.85714285713,86683.42857142857,IL
10.0,3084340.0,10299416.0,42759303.14285714,10788985.142857144,10333484.857142856,5147276.857142857,6407900.285714285,6350724.285714285,2270121.714285714,889729.1428571428,426736.85714285716,96020.0,48324.0,IN
10.0,1456660.857142857,4366062.714285715,17447419.14285714,4616507.142857143,4423583.428571428,1971558.0,2402789.0,2382229.5714285714,921957.2857142857,395671.0,254731.7142857143,56213.71428571428,22178.285714285714,KS
10.0,2090343.142857143,6845240.857142857,29604600.85714286,6983138.285714285,7272732.571428572,3721222.0,4616400.0,4326674.0,1560704.7142857143,664649.7142857143,361350.0,69479.0,28250.571428571428,KY
10.0,2035282.2857142857,7284673.714285715,28822997.14285714,7188530.285714285,7105956.571428572,3598498.0,4553966.857142857,3889090.8571428573,1429098.2857142857,672880.2857142857,304848.0,57876.857142857145,22251.14285714286,LA
10.0,3798568.8571428573,10005729.142857144,50860675.71428572,14530244.857142856,12812028.0,5910580.857142857,7033754.571428572,6990162.285714285,2480504.5714285714,805959.1428571428,190669.7142857143,42313.42857142857,64458.28571428572,MA
10.0,2953260.285714286,9132175.714285715,37248312.571428575,10214938.285714285,8420148.0,4267786.285714285,5585650.0,5634735.142857143,2107479.4285714286,648663.7142857143,272686.28571428574,59146.28571428572,37079.142857142855,MD
10.0,644928.5714285715,2031879.4285714286,8439359.714285715,1962628.2857142857,1978378.0,1034429.1428571428,1256974.2857142857,1381413.7142857143,533578.0,189069.14285714287,84741.14285714286,11353.42857142857,6794.571428571428,ME
10.0,4830275.285714285,15160347.285714285,61423553.85714286,16267717.142857144,14157601.0,7092338.571428572,9165733.0,9209416.57142857,3380633.714285714,1309737.7142857143,659432.4285714285,117721.28571428571,63222.42857142857,MI
10.0,2799927.4285714286,8422430.57142857,31131283.714285713,7966109.714285715,6959717.714285715,3337138.285714286,4321343.428571428,5154465.714285715,1956730.857142857,852730.8571428572,470277.4285714286,73606.85714285714,39162.857142857145,MN
10.0,2997006.1428571427,9254732.142857144,35669497.571428575,8835295.285714285,8552160.857142856,4119321.1428571427,5343635.714285715,5437319.714285715,2042244.142857143,745461.8571428572,451718.5714285714,97163.0,45177.28571428572,MO
