State,Period,Depression_Score,Anxiety_Score,Mix_Score
Missouri,11,25.8,35.3,38.7
Montana,11,28.5,35.6,40.2
Nebraska,11,26.4,31.3,34.1
Nevada,11,33.3,42.8,46.4
New Hampshire,11,28.7,28.9,35.1
New Jersey,11,28.7,37.1,42.0
New Mexico,11,30.1,38.6,41.7
New York,11,25.0,34.2,38.3
North Carolina,11,26.4,34.0,38.3
North Dakota,11,25.2,30.5,33.3
Ohio,11,21.2,31.7,34.8
Oklahoma,11,30.8,40.1,44.7
Oregon,11,31.7,38.6,43.9
Pennsylvania,11,27.5,34.2,40.3
Rhode Island,11,31.1,36.5,42.0
South Carolina,11,25.3,30.7,34.3
South Dakota,11,24.1,32.6,34.7
Tennessee,11,31.4,38.2,41.9
Texas,11,32.2,40.6,45.9
Utah,11,24.2,29.5,34.3
Vermont,11,20.7,33.4,35.4
Virginia,11,24.0,32.6,35.2
Washington,11,27.2,35.7,40.5
West Virginia,11,29.4,36.1,40.9
Wisconsin,11,24.6,31.1,36.6
Wyoming,11,21.7,29.4,33.0
Alabama,12,32.7,39.9,43.3
Alaska,12,27.4,33.8,38.8
Arizona,12,34.3,41.3,44.9
Arkansas,12,33.7,36.8,43.5
California,12,31.2,38.9,44.1
Colorado,12,29.1,38.0,41.5
Connecticut,12,25.9,30.4,35.1
Delaware,12,26.5,29.0,36.6
District of Columbia,12,23.8,33.9,36.1
Florida,12,30.7,35.1,40.5
Georgia,12,29.7,35.5,40.0
Hawaii,12,29.3,37.2,41.3
Idaho,12,34.2,37.3,45.5
Illinois,12,29.5,38.0,43.2
Indiana,12,32.0,36.8,42.0
Iowa,12,25.3,31.3,37.8
Kansas,12,30.5,34.8,39.9
Kentucky,12,30.6,35.9,41.7
Louisiana,12,31.7,38.5,43.1
Maine,12,25.3,35.7,37.8
Maryland,12,29.5,33.2,39.3
Massachusetts,12,23.7,31.1,35.2
Michigan,12,28.6,36.3,40.7
Minnesota,12,24.2,32.2,35.7
Mississippi,12,36.5,38.6,48.0
Missouri,12,24.8,34.9,37.9
Montana,12,28.4,27.5,36.0
Nebraska,12,25.2,30.0,37.3
Nevada,12,38.6,43.7,46.8
New Hampshire,12,28.8,34.0,40.7
New Jersey,12,26.8,34.2,37.6
New Mexico,12,37.6,44.7,47.5
New York,12,29.3,36.2,41.1
North Carolina,12,30.5,33.1,39.5
North Dakota,12,26.8,30.3,33.8
Ohio,12,24.9,32.8,37.1
Oklahoma,12,33.5,39.6,44.1
Oregon,12,36.4,45.4,50.2
Pennsylvania,12,20.5,29.2,31.8
Rhode Island,12,25.9,41.8,44.5
South Carolina,12,32.3,35.7,42.3
South Dakota,12,27.6,27.6,35.4
Tennessee,12,33.7,40.1,43.6
Texas,12,32.4,38.4,44.3
Utah,12,28.5,34.6,37.8
Vermont,12,21.4,29.2,33.2
Virginia,12,27.0,34.2,38.3
Washington,12,32.2,37.1,43.8
West Virginia,12,28.0,31.1,37.0
Wisconsin,12,23.9,29.9,33.3
Wyoming,12,31.6,38.8,41.3
Alabama,13,27.7,30.6,37.2
Alaska,13,22.2,30.5,34.8
Arizona,13,26.4,30.4,35.1
Arkansas,13,23.9,30.5,35.3
California,13,25.9,32.4,38.0
Colorado,13,24.5,32.6,37.6
Connecticut,13,23.8,33.9,38.8
Delaware,13,20.1,24.6,30.5
District of Columbia,13,23.8,30.6,35.3
Florida,13,27.8,33.7,39.4
Georgia,13,26.8,31.3,38.7
Hawaii,13,22.8,35.4,40.0
Idaho,13,22.8,28.7,32.6
Illinois,13,23.5,33.7,38.2
Indiana,13,25.4,32.0,38.2
Iowa,13,20.0,28.0,33.2
Kansas,13,24.3,32.0,35.9
Kentucky,13,27.9,34.6,38.7
Louisiana,13,26.9,37.1,39.7
Maine,13,23.8,34.9,39.3
Maryland,13,21.3,30.9,34.1
Massachusetts,13,22.3,31.5,35.8
Michigan,13,24.1,30.6,36.7
Minnesota,13,18.3,28.6,31.8
Mississippi,13,23.6,27.7,33.2
Missouri,13,23.7,27.8,33.5
Montana,13,18.6,27.9,30.7
Nebraska,13,20.9,28.0,32.0
Nevada,13,26.9,35.2,40.4
New Hampshire,13,19.8,28.4,31.5
New Jersey,13,24.7,33.3,37.8
New Mexico,13,27.8,35.2,38.9
New York,13,22.5,29.9,34.4
North Carolina,13,20.5,28.4,32.3
North Dakota,13,17.8,26.4,29.6
Ohio,13,24.9,31.7,37.3
Oklahoma,13,25.9,34.0,38.6
Oregon,13,26.1,34.8,38.4
Pennsylvania,13,23.8,31.0,35.7
Rhode Island,13,19.2,29.9,34.2
South Carolina,13,20.4,24.5,30.4
South Dakota,13,15.2,20.9,24.2
Tennessee,13,28.3,34.8,38.4
Texas,13,25.7,31.1,37.1
Utah,13,22.7,30.4,34.4
Vermont,13,19.5,28.0,32.0
Virginia,13,25.1,30.5,35.2
